Admissões,Desligamentos,Saldos,data,mes,ano,atividade
667.0,617.0,50.0,Abril/2020,Abril,2020,['Eletricidade e Gás']
3715.0,6797.0,-3082.0,Abril/2020,Abril,2020,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
59027.0,128597.0,-69570.0,Abril/2020,Abril,2020,['Construção']
116937.0,360134.0,-243197.0,Abril/2020,Abril,2020,['Comércio; reparação de veículos automotores e motocicletas']
292663.0,671694.0,-379031.0,Abril/2020,Abril,2020,['Serviços']
36059.0,88813.0,-52754.0,Abril/2020,Abril,2020,"['Transporte, armazenagem e correio']"
12308.0,148710.0,-136402.0,Abril/2020,Abril,2020,['Alojamento e alimentação']
163581.0,299684.0,-136103.0,Abril/2020,Abril,2020,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
12245.0,25432.0,-13187.0,Abril/2020,Abril,2020,['Informação e Comunicação']
5328.0,10862.0,-5534.0,Abril/2020,Abril,2020,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
1678.0,5284.0,-3606.0,Abril/2020,Abril,2020,['Atividades Imobiliárias']
18259.0,40844.0,-22585.0,Abril/2020,Abril,2020,"['Atividades Profissionais, Científicas e Técnicas']"
126071.0,217262.0,-91191.0,Abril/2020,Abril,2020,['Atividades Administrativas e Serviços Complementares']
69869.0,90665.0,-20796.0,Abril/2020,Abril,2020,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
2424.0,2474.0,-50.0,Abril/2020,Abril,2020,"['Administração Pública, Defesa e Seguridade Social']"
8713.0,32337.0,-23624.0,Abril/2020,Abril,2020,['Educação']
58732.0,55854.0,2878.0,Abril/2020,Abril,2020,['Saúde Humana e Serviços Sociais']
17.0,54.0,-37.0,Abril/2020,Abril,2020,['Serviços domésticos']
10829.0,43768.0,-32939.0,Abril/2020,Abril,2020,['Outros serviços']
884.0,15468.0,-14584.0,Abril/2020,Abril,2020,"['Artes, Cultura, Esporte e Recreação']"
9939.0,28289.0,-18350.0,Abril/2020,Abril,2020,['Outras Atividades de Serviços']
6.0,11.0,-5.0,Abril/2020,Abril,2020,['Organismos Internacionais e Outras Instituições Extraterritoriais']
63456.0,89529.0,-26073.0,Dezembro/2021,Dezembro,2021,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
166083.0,258130.0,-92047.0,Dezembro/2021,Dezembro,2021,['Indústria geral']
3628.0,4753.0,-1125.0,Dezembro/2021,Dezembro,2021,['Indústrias Extrativas']
152635.0,240931.0,-88296.0,Dezembro/2021,Dezembro,2021,['Indústrias de Transformação']
1210.0,1786.0,-576.0,Dezembro/2021,Dezembro,2021,['Eletricidade e Gás']
8610.0,10660.0,-2050.0,Dezembro/2021,Dezembro,2021,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
113698.0,165731.0,-52033.0,Dezembro/2021,Dezembro,2021,['Construção']
390748.0,381735.0,9013.0,Dezembro/2021,Dezembro,2021,['Comércio; reparação de veículos automotores e motocicletas']
703925.0,808595.0,-104670.0,Dezembro/2021,Dezembro,2021,['Serviços']
77707.0,89668.0,-11961.0,Dezembro/2021,Dezembro,2021,"['Transporte, armazenagem e correio']"
110965.0,90858.0,20107.0,Dezembro/2021,Dezembro,2021,['Alojamento e alimentação']
390596.0,408486.0,-17890.0,Dezembro/2021,Dezembro,2021,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
36326.0,31549.0,4777.0,Dezembro/2021,Dezembro,2021,['Informação e Comunicação']
16625.0,15436.0,1189.0,Dezembro/2021,Dezembro,2021,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
5617.0,5643.0,-26.0,Dezembro/2021,Dezembro,2021,['Atividades Imobiliárias']
50565.0,58028.0,-7463.0,Dezembro/2021,Dezembro,2021,"['Atividades Profissionais, Científicas e Técnicas']"
281463.0,297830.0,-16367.0,Dezembro/2021,Dezembro,2021,['Atividades Administrativas e Serviços Complementares']
88102.0,172485.0,-84383.0,Dezembro/2021,Dezembro,2021,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
2370.0,20153.0,-17783.0,Dezembro/2021,Dezembro,2021,"['Administração Pública, Defesa e Seguridade Social']"
19236.0,81780.0,-62544.0,Dezembro/2021,Dezembro,2021,['Educação']
66496.0,70552.0,-4056.0,Dezembro/2021,Dezembro,2021,['Saúde Humana e Serviços Sociais']
112.0,109.0,3.0,Dezembro/2021,Dezembro,2021,['Serviços domésticos']
36443.0,46989.0,-10546.0,Dezembro/2021,Dezembro,2021,['Outros serviços']
10035.0,9223.0,812.0,Dezembro/2021,Dezembro,2021,"['Artes, Cultura, Esporte e Recreação']"
26387.0,37734.0,-11347.0,Dezembro/2021,Dezembro,2021,['Outras Atividades de Serviços']
21.0,32.0,-11.0,Dezembro/2021,Dezembro,2021,['Organismos Internacionais e Outras Instituições Extraterritoriais']
83540.0,89384.0,-5844.0,Outubro/2021,Outubro,2021,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
270604.0,243907.0,26697.0,Outubro/2021,Outubro,2021,['Indústria geral']
5326.0,4175.0,1151.0,Outubro/2021,Outubro,2021,['Indústrias Extrativas']
254012.0,230265.0,23747.0,Outubro/2021,Outubro,2021,['Indústrias de Transformação']
1816.0,1515.0,301.0,Outubro/2021,Outubro,2021,['Eletricidade e Gás']
9450.0,7952.0,1498.0,Outubro/2021,Outubro,2021,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
166443.0,149207.0,17236.0,Outubro/2021,Outubro,2021,['Construção']
433236.0,362881.0,70355.0,Outubro/2021,Outubro,2021,['Comércio; reparação de veículos automotores e motocicletas']
806916.0,662275.0,144641.0,Outubro/2021,Outubro,2021,['Serviços']
94768.0,81000.0,13768.0,Outubro/2021,Outubro,2021,"['Transporte, armazenagem e correio']"
115681.0,82820.0,32861.0,Outubro/2021,Outubro,2021,['Alojamento e alimentação']
430233.0,358975.0,71258.0,Outubro/2021,Outubro,2021,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
44152.0,32844.0,11308.0,Outubro/2021,Outubro,2021,['Informação e Comunicação']
22460.0,17300.0,5160.0,Outubro/2021,Outubro,2021,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
6731.0,5674.0,1057.0,Outubro/2021,Outubro,2021,['Atividades Imobiliárias']
64896.0,54218.0,10678.0,Outubro/2021,Outubro,2021,"['Atividades Profissionais, Científicas e Técnicas']"
291994.0,248939.0,43055.0,Outubro/2021,Outubro,2021,['Atividades Administrativas e Serviços Complementares']
119350.0,105012.0,14338.0,Outubro/2021,Outubro,2021,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
5043.0,4117.0,926.0,Outubro/2021,Outubro,2021,"['Administração Pública, Defesa e Seguridade Social']"
39941.0,30719.0,9222.0,Outubro/2021,Outubro,2021,['Educação']
74366.0,70176.0,4190.0,Outubro/2021,Outubro,2021,['Saúde Humana e Serviços Sociais']
120.0,174.0,-54.0,Outubro/2021,Outubro,2021,['Serviços domésticos']
46764.0,34294.0,12470.0,Outubro/2021,Outubro,2021,['Outros serviços']
11202.0,7646.0,3556.0,Outubro/2021,Outubro,2021,"['Artes, Cultura, Esporte e Recreação']"
35533.0,26628.0,8905.0,Outubro/2021,Outubro,2021,['Outras Atividades de Serviços']
29.0,20.0,9.0,Outubro/2021,Outubro,2021,['Organismos Internacionais e Outras Instituições Extraterritoriais']
68635.0,73084.0,-4449.0,Março/2020,Março,2020,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
225973.0,259714.0,-33741.0,Março/2020,Março,2020,['Indústria geral']
3685.0,3878.0,-193.0,Março/2020,Março,2020,['Indústrias Extrativas']
213587.0,247770.0,-34183.0,Março/2020,Março,2020,['Indústrias de Transformação']
1264.0,1095.0,169.0,Março/2020,Março,2020,['Eletricidade e Gás']
7437.0,6971.0,466.0,Março/2020,Março,2020,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
125344.0,138521.0,-13177.0,Março/2020,Março,2020,['Construção']
311296.0,384023.0,-72727.0,Março/2020,Março,2020,['Comércio; reparação de veículos automotores e motocicletas']
616417.0,724639.0,-108222.0,Março/2020,Março,2020,['Serviços']
73853.0,79303.0,-5450.0,Março/2020,Março,2020,"['Transporte, armazenagem e correio']"
71103.0,152477.0,-81374.0,Março/2020,Março,2020,['Alojamento e alimentação']
315175.0,351370.0,-36195.0,Março/2020,Março,2020,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
29298.0,29329.0,-31.0,Março/2020,Março,2020,['Informação e Comunicação']
15305.0,13468.0,1837.0,Março/2020,Março,2020,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
5085.0,5073.0,12.0,Março/2020,Março,2020,['Atividades Imobiliárias']
44777.0,46799.0,-2022.0,Março/2020,Março,2020,"['Atividades Profissionais, Científicas e Técnicas']"
220710.0,256701.0,-35991.0,Março/2020,Março,2020,['Atividades Administrativas e Serviços Complementares']
120781.0,97531.0,23250.0,Março/2020,Março,2020,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
6957.0,3485.0,3472.0,Março/2020,Março,2020,"['Administração Pública, Defesa e Seguridade Social']"
49058.0,38747.0,10311.0,Março/2020,Março,2020,['Educação']
64766.0,55299.0,9467.0,Março/2020,Março,2020,['Saúde Humana e Serviços Sociais']
54.0,45.0,9.0,Março/2020,Março,2020,['Serviços domésticos']
35451.0,43913.0,-8462.0,Março/2020,Março,2020,['Outros serviços']
6937.0,12249.0,-5312.0,Março/2020,Março,2020,"['Artes, Cultura, Esporte e Recreação']"
28488.0,31645.0,-3157.0,Março/2020,Março,2020,['Outras Atividades de Serviços']
26.0,19.0,7.0,Março/2020,Março,2020,['Organismos Internacionais e Outras Instituições Extraterritoriais']
93045.0,67525.0,25520.0,Julho/2021,Julho,2021,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
278431.0,219601.0,58830.0,Julho/2021,Julho,2021,['Indústria geral']
6080.0,3946.0,2134.0,Julho/2021,Julho,2021,['Indústrias Extrativas']
262016.0,207623.0,54393.0,Julho/2021,Julho,2021,['Indústrias de Transformação']
1750.0,1331.0,419.0,Julho/2021,Julho,2021,['Eletricidade e Gás']
8585.0,6701.0,1884.0,Julho/2021,Julho,2021,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
169142.0,138503.0,30639.0,Julho/2021,Julho,2021,['Construção']
